@relation datatest

@attribute MAG_APER numeric
@attribute MAGERR_APER numeric
@attribute MAG_AUTO numeric
@attribute MAGERR_AUTO numeric
@attribute MAG_BEST numeric
@attribute MAGERR_BEST numeric
@attribute KRON_RADIUS numeric
@attribute BACKGROUND numeric
@attribute THRESHOLD numeric
@attribute ISOAREA_IMAGE numeric
@attribute ISOAREAF_IMAGE numeric
@attribute ALPHAPEAK_J2000 numeric
@attribute DELTAPEAK_J2000 numeric
@attribute FWHM_IMAGE numeric
@attribute FWHM_WORLD numeric
@attribute ELONGATION numeric
@attribute ELLIPTICITY numeric
@attribute CLASS_STAR numeric
@attribute FLUX_RADIUS numeric
@attribute CLASS_OBJECT {gc,star,gx_e,gx_r,sf}

@data
-11.3924,0.0091,-13.0748,0.0091,-13.0748,0.0091,3.9,4381.222,147.3241,223,242,148.995647,69.311375,9.51,0.000494,1.358,0.264,0.03,4.49,sf
-11.0489,0.012,-12.7159,0.013,-12.7159,0.013,3.95,4382.508,147.3241,216,231,148.999025,69.318179,7.71,0.000401,1.123,0.11,0.02,4.903,sf
-10.8657,0.014,-12.0104,0.0173,-12.0104,0.0173,4.14,4348.861,147.3241,94,101,148.944198,69.262175,6.36,0.000331,1.163,0.14,0.02,3.214,sf
-10.6818,0.0164,-12.3427,0.0174,-12.3427,0.0174,4.28,4381.849,147.3241,162,169,148.995064,69.305246,10.34,0.000537,1.695,0.41,0.01,4.487,sf
-11.09,0.0116,-12.633,0.0116,-12.633,0.0116,3.72,4374.057,147.3241,171,181,148.919609,69.283979,7.94,0.000412,1.17,0.146,0.02,4.105,sf
-10.8088,0.0147,-12.0309,0.0191,-12.0309,0.0191,4.32,4520.758,147.3241,113,118,149.096369,69.126969,6.65,0.000345,1.106,0.096,0.02,3.379,sf
-10.8,0.0148,-11.8609,0.0197,-11.8609,0.0197,4.26,4312.785,147.3241,92,94,148.992035,69.24245,5.86,0.000304,1.07,0.066,0.02,3.11,sf
-11.0349,0.0121,-12.1466,0.0159,-12.1466,0.0159,4.07,4367.341,147.3241,113,121,149.104083,69.330725,5.52,0.000287,1.12,0.107,0.03,3.269,sf
-11.0759,0.0117,-13.0565,0.014,-13.0565,0.014,6.5,4258.282,147.3241,172,195,149.141491,69.189009,6.17,0.000321,1.36,0.264,0.02,7.916,sf
-11.2212,0.0104,-12.4469,0.0136,-12.4469,0.0136,4.19,4392.967,147.3241,140,152,149.009026,69.309038,5.65,0.000293,1.586,0.37,0.04,3.626,sf
-12.2306,0.0047,-13.9901,0.0045,-13.8581,0.0051,3.69,4965.913,147.3241,314,338,149.009485,69.144338,11.49,0.000597,1.284,0.221,0.03,5.061,sf
-10.9153,0.0134,-12.6774,0.015,-12.6774,0.015,5.02,4393.98,147.3241,167,181,148.925282,69.223835,10.15,0.000527,1.569,0.363,0.02,5.066,sf
-11.5951,0.0077,-14.5939,0.0035,-14.5939,0.0035,3.5,4365.403,147.3241,685,706,148.944156,69.27542,21.27,0.001105,1.367,0.268,0.03,7.463,sf
-11.2972,0.0098,-12.72,0.0119,-12.72,0.0119,4.23,4376.476,147.3241,176,186,148.977722,69.304308,6.87,0.000357,1.236,0.191,0.03,3.954,sf
