NUMBER,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,KRON_RADIUS,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,ISOAREAF_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,X_IMAGE,Y_IMAGE,FWHM_IMAGE,FWHM_WORLD,ELONGATION,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS,FILE_NAME,CLASS_OBJECT
4676,-11.0900,0.0116,-12.6330,0.0116,-12.6330,0.0116,3.72,4374.057,147.3241,171,181,148.9196086,+69.2839788,1694.338,3339.492,7.94,0.0004123819,1.170,0.146,0.02,4.105,dataset\i23.cat,fo
2406,-11.0879,0.0116,-11.8968,0.0212,-11.9123,0.0222,4.14,4962.985,147.3241,94,106,148.9852639,+69.1467766,1248.307,697.185,3.45,0.0001790053,1.340,0.254,0.86,2.646,dataset\i23.cat,None
4416,-11.0868,0.0116,-12.0382,0.0170,-12.0382,0.0170,4.40,4262.407,147.3241,90,101,149.1287067,+69.2311929,267.997,2322.779,4.73,0.0002456122,1.105,0.095,0.23,2.940,dataset\i23.cat,None
2015,-11.0863,0.0116,-11.8808,0.0180,-11.8428,0.0211,4.21,5695.228,147.3241,81,92,148.9100084,+69.1396848,1764.037,561.251,3.58,0.0001857413,1.262,0.207,0.89,2.604,dataset\i23.cat,None
369,-11.0832,0.0117,-11.7522,0.0193,-11.8155,0.0204,3.50,6933.422,147.3241,80,86,148.9244004,+69.1153332,1666.238,92.135,3.49,0.0001811668,1.527,0.345,0.90,2.316,dataset\i23.cat,None
1001,-11.0821,0.0117,-12.2793,0.0193,-12.1607,0.0209,5.04,4919.07,147.3241,123,139,149.0657514,+69.1250596,695.932,278.624,4.94,0.0002564963,1.637,0.389,0.29,3.723,dataset\i23.cat,None
1398,-11.0816,0.0117,-12.1149,0.0130,-11.9072,0.0164,3.52,6092.264,147.3241,72,78,148.9090322,+69.1301794,1770.912,377.624,5.95,0.0003088397,1.400,0.286,0.21,3.087,dataset\i23.cat,None
2019,-11.0802,0.0117,-11.5164,0.0186,-11.6258,0.0212,4.10,5907.144,147.3241,47,69,148.9006744,+69.1394713,1828.352,556.984,3.34,0.0001732464,1.144,0.126,0.96,1.914,dataset\i23.cat,None
1809,-11.0787,0.0117,-11.8449,0.0192,-11.8851,0.0200,4.13,5482.444,147.3241,79,93,148.9453163,+69.1365338,1522.778,499.879,4.96,0.0002576315,1.657,0.397,0.45,2.529,dataset\i23.cat,None
3833,-11.0759,0.0117,-13.0565,0.0140,-13.0565,0.0140,6.50,4258.282,147.3241,172,195,149.1414911,+69.1890086,178.603,1510.796,6.17,0.000320715,1.360,0.264,0.02,7.916,dataset\i23.cat,fo
3145,-11.0703,0.0118,-12.3129,0.0166,-12.1745,0.0176,4.57,4881.72,147.3241,114,122,148.9775044,+69.1635517,1300.118,1019.955,6.86,0.0003565189,1.635,0.388,0.31,3.840,dataset\i23.cat,None
2248,-11.0694,0.0118,-11.9018,0.0159,-11.7958,0.0197,3.87,5834.821,147.3241,74,81,148.8924836,+69.1436210,1883.875,636.858,3.78,0.0001964202,1.193,0.162,0.89,2.675,dataset\i23.cat,None
3149,-11.0693,0.0118,-11.4447,0.0183,-11.4447,0.0183,3.86,4889.81,147.3241,45,50,148.9570639,+69.1626115,1440.759,1002.262,3.27,0.0001698133,1.159,0.138,0.97,1.819,dataset\i23.cat,None
